headline,date,news_desk,word_count,Hate Crimes,Discrimination,Race and Ethnicity,Atlanta Spa Shootings (2021),"Murders, Attempted Murders and Homicides","Demonstrations, Protests and Riots",Mass Shootings,Quarantine (Life and Culture),Assaults,Minorities,Workplace Hazards and Violations,Coronavirus (2019-nCoV),url
Justice Department Drops Suit Claiming Yale Discriminated in Admissions,2021-02-03,National,782.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/02/03/us/yale-admissions-affirmative-action.html
"Corky Lee, Who Photographed Asian-American Life, Dies at 73",2021-01-29,Obits,1021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,https://www.nytimes.com/2021/01/29/nyregion/corky-lee-dead-coronavirus.html
Cherry Blossom Trees Vandalized in San Francisco’s Japantown,2021-01-08,Express,622.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/01/08/us/japantown-cherry-blossom-trees.html
Asian-American Voters Can Help Decide Elections. But for Which Party?,2021-01-03,Politics,1729.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2021/01/03/us/politics/asian-american-voters.html
Immigrant Neighborhoods Shifted Red as the Country Chose Blue,2020-12-21,U.S.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/interactive/2020/12/20/us/politics/election-hispanics-asians-voting.html
How Fake News Is Hatching in Immigrant Communities,2020-12-20,OpEd,1184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2020/12/20/opinion/fake-news-disinformation-immigrants.html
New York City Will Change Many Selective Schools to Address Segregation,2020-12-18,Metro,1568.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2020/12/18/nyregion/nyc-schools-admissions-segregation.html
What the Asian-American Coalition Can Teach the Democrats,2020-12-16,OpEd,1123.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2020/12/16/opinion/asian-american-democrats.html
Is Andrew Yang Running for Mayor? All Signs Point to Yes,2020-12-11,Metro,1084.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2020/12/11/nyregion/andrew-yang-mayor-new-york.html
"An Artist’s View of Hazing Rituals, Haunted by Tragedy",2020-12-03,Culture,1242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2020/12/03/arts/design/kenneth-tam-the-crossing.html
A New Political Force Emerges in Georgia: Asian-American Voters,2020-11-25,National,1697.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2020/11/25/us/georgia-asian-american-voters.html
Yo-Yo Ma and the Meaning of Life,2020-11-23,Magazine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/interactive/2020/11/23/magazine/yo-yo-ma-interview.html
Melania Trump Announces a Noguchi Sculpture for the White House,2020-11-21,Culture,503.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2020/11/20/arts/design/melania-trump-noguchi-sculpture.html
‘People of Color’ Do Not Belong to the Democratic Party,2020-11-20,OpEd,2687.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2020/11/20/opinion/sunday/immigrants-vote-election-politics.html
Modern Love Podcast: Confronting Race on the First Date,2020-11-18,Styles,310.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2020/11/18/style/modern-love-podcast-race-asian-american-first-date.html
Kim Ng Has Been Ready for Years,2020-11-18,Sports,1999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2020/11/18/sports/baseball/kim-ng-miami-marlins.html
Liberals Envisioned a Multiracial Coalition. Voters of Color Had Other Ideas.,2020-11-16,National,1611.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,https://www.nytimes.com/2020/11/16/us/liberals-race.html
"Miami Marlins Hire Kim Ng, Breaking a Baseball Gender Barrier",2020-11-13,Sports,1359.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2020/11/13/sports/baseball/kim-ng-miami-marlins.html
‘I Still Believe in Our City’: A Public Art Series Takes On Racism,2020-11-02,Culture,539.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,https://www.nytimes.com/2020/11/02/arts/design/public-art-covid-race-subway.html
David Henry Hwang’s ‘M. Butterfly’ Followup: ‘M. Turkey’,2020-11-01,Culture,879.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2020/11/01/theater/face-value-david-henry-hwang-broadway.html
He Was a Rising Jazz Pianist. Then His N.Y.C. Dreams Were Shattered.,2020-10-22,Metropolitan,1601.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,https://www.nytimes.com/2020/10/22/nyregion/jazz-pianist-attack-racism.html
Why Students Can’t Get Laptops,2020-10-14,NYTNow,1165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,https://www.nytimes.com/2020/10/14/us/students-laptops-digitial-divide.html
Why Parents in This High-Performing School District Chose All-Remote Learning,2020-10-14,Metro,1442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,https://www.nytimes.com/2020/10/14/nyregion/nyc-coronavirus-schools-reopening.html
"Justice Dept. Sues Yale, Citing Illegal Race Discrimination",2020-10-09,National,588.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2020/10/08/us/yale-discrimination.html
"Judge Overturns Murder Conviction, Citing ‘Racial Animus’ in Prosecutors’ Emails",2020-10-02,Express,1154.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2020/10/01/us/brockton-massachusetts-woman-freed-prison.html
The Work Diary of 88rising’s Pan-Cultural Hitmaker,2020-09-04,SundayBusiness,1663.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2020/09/04/business/sean-miyashiro-88rising.html
‘Mulan’ 1998: A Moment of Joy and Anxiety for Asian-American Viewers,2020-09-04,Culture,970.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2020/09/04/movies/mulan-animated-1998.html
Asian-Americans and the Bias Suit Against Yale,2020-08-26,Letters,239.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2020/08/26/opinion/letters/yale-asian-americans.html
‘Finally the Country Sees Us’: Some Women of Color Cheer Harris’s Rise,2020-08-19,National,1194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2020/08/19/us/kamala-harris-women-voters.html
Justice Dept. Accuses Yale of Discrimination in Application Process,2020-08-13,National,1212.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2020/08/13/us/yale-discrimination.html
Why Kamala Harris Matters to Me,2020-08-12,OpEd,1158.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2020/08/12/opinion/kamala-harris-indian-american.html
Chanel Miller’s Secret Source of Strength,2020-08-05,Arts&Leisure,1685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2020/08/05/arts/design/chanel-miller-museum-mural.html
Anti-Asian Harassment Is Surging. Can Ads and Hashtags Help?,2020-07-21,Business,691.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,https://www.nytimes.com/2020/07/21/business/media/asian-american-harassment-ad-council.html
YouTube Personality Jenna Marbles Apologizes for Blackface Video,2020-06-26,Express,911.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2020/06/26/us/jenna-marbles-leaves-youtube.html
Professor Who Asked Student to ‘Anglicize’ Her Name Is Put on Leave,2020-06-21,Express,935.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2020/06/21/us/phuc-bui-diem-nguyen-laney-college.html
The Surprising Origin of Our Modern Nation of Immigrants,2020-06-13,OpEd,1421.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2020/06/13/sunday-review/immigration-history-us.html
What We Look Like,2020-06-06,National,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,https://www.nytimes.com/2020/06/06/us/coronavirus-race-artists-asian-american-identity.html
"Interracial Romance, With Black Women as the Stars",2020-05-22,Culture,1387.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2020/05/22/arts/television/insecure-lovebirds-interracial.html
A Season to Celebrate Asian-American Theater Is Lost to Pandemic,2020-05-21,Arts&Leisure,1443.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2020/05/21/theater/asian-american-playwrights.html
Inequality Has Been Laid Bare by the Outbreak. Now What?,2020-05-20,Magazine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,https://www.nytimes.com/interactive/2020/05/20/magazine/covid-quarantine-inequality.html
Why I’ve Stopped Telling People I’m Not Chinese,2020-05-15,OpEd,1027.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,https://www.nytimes.com/2020/05/15/opinion/coronavirus-chinese-asian-racism.html
"Daniel Dae Kim on ‘Asian-Americans’: Ugly History, Relevant Again",2020-05-10,Culture,1350.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,https://www.nytimes.com/2020/05/10/arts/television/daniel-dae-kim-asian-americans.html
"Alice Wu’s Lesbian Rom-Com Was Influential, but Her Follow-Up Wasn’t Easy",2020-04-29,Arts&Leisure,1513.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2020/04/29/movies/the-half-of-it-alice-wu.html
Who Belongs In America?,2020-04-25,National,553.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,https://www.nytimes.com/2020/04/25/us/coronavirus-immigration-china-book-yang.html
Lululemon Fires Employee Over ‘Bat Fried Rice’ Shirt,2020-04-22,Express,821.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,https://www.nytimes.com/2020/04/22/business/lululemon-bat-fried-rice-shirt-coronavirus.html
"From Saigon to the Suburbs, a Vietnamese-American’s Struggle to Assimilate",2020-04-21,BookReview,973.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2020/04/21/books/review/sigh-gone-phuc-tran.html
Facing the Stigma of Divorce While Finding Your People,2020-04-17,Parenting,1382.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2020/04/17/parenting/divorce-single-mom.html
The Asian-American Fashion Designers Who Shaped the Industry,2020-04-13,T Magazine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/interactive/2020/04/13/t-magazine/asian-american-fashion-designers.html
The Slur I Never Expected to Hear in 2020,2020-04-12,Magazine,2860.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,https://www.nytimes.com/2020/04/12/magazine/asian-american-discrimination-coronavirus.html
Sonic Postcards Across the Ocean,2020-04-10,Podcasts,1002.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,https://www.nytimes.com/2020/04/10/podcasts/daily-newsletter-coronavirus-racism.html
"With ‘Tigertail,’ a Filmmaker Hopes to Comfort Asian-Americans",2020-04-10,Culture,1084.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2020/04/10/movies/tigertail-alan-yang.html
When Asian-Americans Have to Prove We Belong,2020-04-10,OpEd,1163.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,https://www.nytimes.com/2020/04/10/sunday-review/coronavirus-asian-racism.html
New Trump Ad Suggests a Campaign Strategy Amid Crisis: Xenophobia,2020-04-10,Politics,1284.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2020/04/10/us/politics/trump-ad-gary-locke.html
How a Chinese-American Novelist Wrote Herself Into the Wild West,2020-04-04,Culture,1160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2020/04/04/books/c-pam-zhang-how-much-of-these-hills-is-gold.html
How Asian-American Leaders Are Grappling With Xenophobia Amid Coronavirus,2020-03-29,Politics,1517.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,https://www.nytimes.com/2020/03/29/us/politics/coronavirus-asian-americans.html
The Healing Power of ‘Steven Universe’,2020-03-28,OpEd,1181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2020/03/28/opinion/sunday/steven-universe-finale.html
Call It ‘Coronavirus’,2020-03-23,Editorial,798.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,https://www.nytimes.com/2020/03/23/opinion/china-coronavirus-racism.html
"Spit On, Yelled At, Attacked: Chinese-Americans Fear for Their Safety",2020-03-23,National,1670.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,https://www.nytimes.com/2020/03/23/us/chinese-coronavirus-racist-attacks.html
"This Year, Only 10 Black Students Got Into N.Y.C.’s Top High School",2020-03-19,Metro,1064.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2020/03/19/nyregion/nyc-schools-numbers-black-students-diversity-specialized.html
"A Shang-Chi Comic for Summer, Ahead of the Hero’s Marvel Film",2020-03-12,Culture,446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2020/03/12/books/shang-chi-marvel.html
‘Fire Carranza!’: Why Asian-Americans Are Targeting Schools Chief,2020-03-03,Metro,1566.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2020/03/03/nyregion/carranza-asian-americans-schools.html
"Kellye Nakahara, a Memorable Nurse on ‘M*A*S*H,’ Dies at 73",2020-02-19,Obits,520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2020/02/19/arts/television/kellye-nakahara-dead.html
‘Minor Feelings’ Rescues Personal Experience From the Expectations of Others,2020-02-17,Culture,910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2020/02/17/books/review-minor-feelings-cathy-park-hong.html
"‘Are You Sick?’ For Asian-Americans, a Sneeze Brings Suspicion",2020-02-16,National,1357.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,https://www.nytimes.com/2020/02/16/us/coronavirus-american-mood.html
How Andrew Yang Handled His Asian-American Identity on the Campaign Trail,2020-02-15,National,1251.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2020/02/15/us/how-andrew-yang-handled-his-asian-american-identity-on-the-campaign-trail.html
Why the Fastest Growing Population in America Is The Least Likely to Fill Out the Census,2020-02-14,National,1176.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2020/02/14/us/asian-american-census.html
‘To All the Boys I’ve Loved Before’ … and to Fans Hungry for More,2020-02-12,Arts&Leisure,1408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2020/02/12/movies/to-all-the-boys-ps-i-still-love-you.html
Andrew Yang Drops Out: ‘It Is Clear Tonight From the Numbers That We Are Not Going to Win’,2020-02-12,Politics,1254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2020/02/11/us/politics/andrew-yang-drops-out.html
"‘Parasite’ Won, but Asian-Americans Are Still Losing",2020-02-11,OpEd,1075.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,https://www.nytimes.com/2020/02/10/opinion/parasite-oscar-best-picture.html
Did I Just Get Yanged?,2020-01-31,OpEd,3156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2020/01/30/opinion/sunday/andrew-yang-2020.html
National Asian American Theater Partners With Regional Companies,2020-01-30,Culture,327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2020/01/30/theater/national-asian-american-theater-company.html
P.S.: Fans Still Love ‘To All the Boys’,2020-01-25,Culture,927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nytimes.com/2020/01/25/movies/to-all-the-boys-ps-i-still-love-you-noah-centineo-lana-candor.html
